ID,Start,End,Length [m],Diameter [m],Absolute Roughness [mm]
0,0,12,31.185306457796116,10.0,1
1,0,30,112.07157337977607,10.0,1
2,12,11,79.63876525757041,10.0,1
3,30,9,46.80145132745737,10.0,1
4,30,15,52.268625422726416,10.0,1
5,11,13,79.63878090044015,10.0,1
6,9,8,79.63875557712298,10.0,1
7,15,36,65.8608910571258,10.0,1
8,13,45,38.49245702016852,10.0,1
9,8,27,12.151882613920554,10.0,1
10,36,17,56.57455692166101,10.0,1
11,36,2,61.487893372018,10.0,1
12,45,10,84.98346138003238,10.0,1
13,27,14,56.513233769912574,10.0,1
14,17,35,54.40370830528355,10.0,1
15,2,32,61.487957298286155,10.0,1
16,14,5,6.96235577802487,10.0,1
17,35,33,50.82147953952215,10.0,1
18,35,20,55.221319777444464,10.0,1
19,35,1,61.48783406626503,10.0,1
20,32,7,32.493624174843106,10.0,1
21,5,29,53.501577849833645,10.0,1
22,20,26,55.756904602418395,10.0,1
23,1,31,61.48795768016912,10.0,1
24,7,38,67.48675878066474,10.0,1
25,29,3,53.47752585002073,10.0,1
26,29,37,105.97925219840424,10.0,1
27,26,23,58.5912137310575,10.0,1
28,26,4,60.02833554703501,10.0,1
29,31,18,55.489074183120636,10.0,1
30,38,6,64.70683302939159,10.0,1
31,3,16,8.925487957838362,10.0,1
32,4,42,72.824642229948,10.0,1
33,18,24,55.48905883714232,10.0,1
34,6,34,46.27131542037267,10.0,1
35,16,28,54.57409150233292,10.0,1
36,42,41,39.71841080578721,10.0,1
37,42,22,115.39426502351884,10.0,1
38,24,25,99.98034591908026,10.0,1
39,28,21,74.56057937976979,10.0,1
40,41,43,141.584878273585,10.0,1
41,22,40,82.52802757667322,10.0,1
42,25,39,66.69715249524609,10.0,1
43,21,19,35.12628828674163,10.0,1
44,43,44,141.58490548011056,10.0,1
