ID,Type,position-X,position-Y
0,reference,371385.7459,140130.7492
1,building,371680.3067,140313.5552
2,building,371597.886,140239.2384
3,building,371472.1858,140425.4622
4,building,371766.1335,140473.7356
5,building,371403.4923,140343.4516
6,building,371754.0698,140162.6511
7,building,371660.8209,140169.4406
8,building,371372.049,140286.988
9,building,371433.1004,140235.8503
10,building,371264.7973,140342.9146
11,building,371300.7876,140201.9115
12,building,371361.8391,140150.7739
13,building,371239.7362,140253.0492
14,building,371399.0216,140338.1142
15,building,371507.7972,140240.8
16,building,371477.917,140432.3045
17,building,371598.727,140322.7891
18,building,371762.6926,140305.048
19,building,371592.9106,140516.9768
20,building,371680.1427,140396.1998
21,building,371560.837,140531.2996
22,building,371917.207,140459.98
26,junction,371721.552,140433.5375
27,junction,371362.7334,140294.7909
28,junction,371512.9602,140474.1412
29,junction,371437.8468,140384.4661
30,junction,371468.9786,140205.7982
31,junction,371721.4822,140267.8897
32,junction,371639.0615,140193.5728
35,junction,371639.1312,140359.2207
36,junction,371556.7104,140284.9039
38,junction,371706.0136,140119.32
42,junction,371820.2186,140522.5028
45,junction,371210.2277,140277.7659
